,user_id,device_type,month,year,power,time,power_kWh,cost
0,1,Desktop,Apr,2020,311022.48000000033,00:00:20,5.153889999999444,1.0093500000000708
1,1,Desktop,Aug,2020,246039.47999999792,00:00:20,4.069930000000415,0.790880000000013
2,1,Desktop,Dec,2019,237528.60999999664,00:00:20,3.9277900000005,0.7629400000000065
3,1,Desktop,Feb,2020,203587.6499999968,00:00:20,3.363900000000406,0.6518900000000134
4,1,Desktop,Jan,2020,247932.53999999707,00:00:20,4.1021100000004616,0.7981300000000101
5,1,Desktop,Jul,2020,319090.40000000264,00:00:20,5.288159999999254,1.036070000000072
6,1,Desktop,Jun,2020,380607.7200000079,00:00:20,6.314239999998846,1.2411900000000196
7,1,Desktop,Mar,2020,256727.75999999748,00:00:20,4.248440000000285,0.8271800000000139
8,1,Desktop,May,2020,334774.35000000056,00:00:20,5.549199999999036,1.0868900000000061
9,1,Desktop,Nov,2019,247018.7299999957,00:00:20,4.086740000000288,0.795720000000014
10,1,Desktop,Oct,2019,269798.9299999985,00:00:20,4.465680000000107,0.8708800000000215
11,1,Desktop,Sep,2019,173360.11999999674,00:00:20,2.865030000000257,0.5551799999999997
12,1,Desktop,Sep,2020,55551.71999999962,00:00:20,0.9193699999999294,0.17867000000000058
13,1,Fan,Apr,2020,55038.23999999907,00:00:20,0.8869199999998209,0.15550000000000755
14,1,Fan,Aug,2020,44752.13999999889,00:00:20,0.7144499999998786,0.11974000000000427
15,1,Fan,Dec,2019,44364.41999999931,00:00:20,0.7080099999999242,0.11781000000000401
16,1,Fan,Feb,2020,37792.66999999953,00:00:20,0.6000899999999914,0.09844000000000253
17,1,Fan,Jan,2020,45455.83999999997,00:00:20,0.726549999999902,0.12274000000000453
18,1,Fan,Jul,2020,56905.28999999976,00:00:20,0.9170999999998001,0.16051000000000845
19,1,Fan,Jun,2020,64222.72999999968,00:00:20,1.040109999999821,0.18584000000000886
20,1,Fan,Mar,2020,46893.73999999947,00:00:20,0.7507899999998636,0.12728000000000536
21,1,Fan,May,2020,58086.22999999881,00:00:20,0.935859999999829,0.16374000000000724
22,1,Fan,Nov,2019,45408.96999999983,00:00:20,0.7255099999998997,0.12325000000000542
