,user_id,device_type,week,power,month,time,year,power_kWh,cost
0,1,Desktop,07 Aug,59079.539999999906,Aug,00:00:20,2020,0.9773899999999671,0.1905500000000007
1,1,Desktop,14 Aug,57931.000000000015,Aug,00:00:20,2020,0.9580999999999701,0.1868000000000005
2,1,Desktop,21 Aug,58006.93000000006,Aug,00:00:20,2020,0.9593799999999693,0.1869000000000007
3,1,Desktop,28 Aug,55439.73999999994,Aug,00:00:20,2020,0.9174299999999699,0.1783200000000008
4,1,Fan,07 Aug,10584.84000000008,Aug,00:00:20,2020,0.16919000000000275,0.02857999999999921
5,1,Fan,14 Aug,10602.700000000092,Aug,00:00:20,2020,0.16992000000000262,0.02865999999999923
6,1,Fan,21 Aug,10441.490000000082,Aug,00:00:20,2020,0.16653000000000237,0.028209999999999232
7,1,Fan,28 Aug,10371.490000000043,Aug,00:00:20,2020,0.1657600000000024,0.028039999999999208
8,1,Laptop,07 Aug,35099.88999999996,Aug,00:00:20,2020,0.5777200000000028,0.11044999999999966
9,1,Laptop,14 Aug,35649.20000000005,Aug,00:00:20,2020,0.5870600000000027,0.11210999999999967
10,1,Laptop,21 Aug,36152.729999999996,Aug,00:00:20,2020,0.5954700000000043,0.11427999999999976
11,1,Laptop,28 Aug,33646.22999999996,Aug,00:00:20,2020,0.5539700000000057,0.10560999999999907
12,1,Monitor,07 Aug,46745.51999999985,Aug,00:00:20,2020,0.7724099999999906,0.1493199999999983
13,1,Monitor,14 Aug,47490.130000000034,Aug,00:00:20,2020,0.7846499999999937,0.15175999999999829
14,1,Monitor,21 Aug,48639.239999999605,Aug,00:00:20,2020,0.8038299999999898,0.15574999999999833
15,1,Monitor,28 Aug,44723.16000000002,Aug,00:00:20,2020,0.738669999999993,0.1425499999999989
16,1,Others,07 Aug,16058.74000000007,Aug,00:00:20,2020,0.26048000000000704,0.04701999999999978
17,1,Others,14 Aug,15917.4500000001,Aug,00:00:20,2020,0.25789000000000617,0.04679999999999993
18,1,Others,21 Aug,16419.630000000103,Aug,00:00:20,2020,0.2667800000000066,0.048479999999999863
19,1,Others,28 Aug,14706.000000000104,Aug,00:00:20,2020,0.23807000000000722,0.042499999999999705
20,1,Tasklamp,07 Aug,13357.730000000098,Aug,00:00:20,2020,0.21604000000000653,0.03816999999999956
21,1,Tasklamp,14 Aug,13514.620000000074,Aug,00:00:20,2020,0.21814000000000588,0.038519999999999555
22,1,Tasklamp,21 Aug,12989.510000000082,Aug,00:00:20,2020,0.2093800000000058,0.036599999999999536
23,1,Tasklamp,28 Aug,12376.210000000097,Aug,00:00:20,2020,0.19926000000000554,0.03466999999999936
24,2,Desktop,07 Aug,59027.90999999985,Aug,00:00:20,2020,0.9768399999999682,0.1902500000000005
25,2,Desktop,14 Aug,57611.21999999981,Aug,00:00:20,2020,0.9536299999999678,0.1854100000000007
26,2,Desktop,21 Aug,58666.979999999974,Aug,00:00:20,2020,0.970969999999968,0.1893600000000007
27,2,Desktop,28 Aug,55112.5499999999,Aug,00:00:20,2020,0.9111899999999685,0.17738000000000065
28,2,Fan,07 Aug,10728.63000000012,Aug,00:00:20,2020,0.1713600000000026,0.029279999999999192
29,2,Fan,14 Aug,10684.400000000087,Aug,00:00:20,2020,0.17128000000000274,0.028919999999999228
30,2,Fan,21 Aug,10523.150000000067,Aug,00:00:20,2020,0.16818000000000213,0.028429999999999213
31,2,Fan,28 Aug,10067.280000000108,Aug,00:00:20,2020,0.16090000000000243,0.026859999999999284
32,2,Laptop,07 Aug,35951.54999999987,Aug,00:00:20,2020,0.5919700000000022,0.11320999999999987
33,2,Laptop,14 Aug,36759.22999999981,Aug,00:00:20,2020,0.6059300000000039,0.11620999999999974
34,2,Laptop,21 Aug,36226.69999999994,Aug,00:00:20,2020,0.5967400000000014,0.11432999999999964
35,2,Laptop,28 Aug,33978.37999999988,Aug,00:00:20,2020,0.5592400000000043,0.10743999999999873
36,2,Monitor,07 Aug,47252.44000000003,Aug,00:00:20,2020,0.7805699999999892,0.15103999999999806
37,2,Monitor,14 Aug,47137.5199999999,Aug,00:00:20,2020,0.7788599999999929,0.1508399999999983
38,2,Monitor,21 Aug,46904.769999999975,Aug,00:00:20,2020,0.7748899999999892,0.1498099999999983
39,2,Monitor,28 Aug,45252.28999999981,Aug,00:00:20,2020,0.7473499999999936,0.14432999999999854
40,2,Others,07 Aug,16249.800000000121,Aug,00:00:20,2020,0.263580000000006,0.04754999999999975
41,2,Others,14 Aug,16212.020000000035,Aug,00:00:20,2020,0.26315000000000743,0.04756999999999982
42,2,Others,21 Aug,16143.440000000084,Aug,00:00:20,2020,0.26152000000000697,0.047429999999999875
43,2,Others,28 Aug,15130.200000000059,Aug,00:00:20,2020,0.24491000000000543,0.04406999999999978
44,2,Tasklamp,07 Aug,13328.21000000009,Aug,00:00:20,2020,0.21537000000000625,0.03792999999999954
45,2,Tasklamp,14 Aug,13256.530000000097,Aug,00:00:20,2020,0.2137600000000063,0.03746999999999955
46,2,Tasklamp,21 Aug,13084.210000000096,Aug,00:00:20,2020,0.21110000000000625,0.03717999999999949
47,2,Tasklamp,28 Aug,12825.930000000077,Aug,00:00:20,2020,0.20673000000000574,0.0363899999999995
